Collection Pillar,Recommendation,Sell Priority,Museum Score,Investment Score,Liquidity Score,Duplicate,Duplicate Count,Upgrade Candidate,Needs Grading,Needs Photo,Needs Verification,Verification Notes,Series,Issue Full,Issue,Issue Ext,Title,Edition / Variant,Publisher,Series Group,Age,Release Date,Cover Date,Publication Date,Barcode,Quantity,Location,Current Price,Cover Price,Purchase Price,Purchase Date,Is Key Comic,Key Comic Reason,Key Categories,Story Arc,Crossover,Genres,Slab Status,Grade Rating,Assumed Grade,Signees,Tags,Cover Image URL,CLZ Hash,BP Comic ID,BP Series ID,Added Date,Modified Date,Format,Collection Status,Collection,Read It,Country,Language,Value Locked,Raw XML Index
First Appearances,Museum Candidate,Low,85,75,63,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","WildC.A.T.s, Vol. 1",1I,1,I,Resurrection Day,Newsstand Edition,Image Comics,WildC.A.T.S,Modern,Aug 1992,Aug 1992,Aug 1992,07098933247801,1,High Value Bin,65.0,1.95,0.0,,Minor,1st team app. of WildC.A.T.S,1st team appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/cf/cf_740551_0_WildCATsVol11I.jpg,a79964860da148f5b2d62d7ea6e4c620,740551,18543,2021-05-08,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,848
Good Girl / Risqué Covers,Museum Candidate,Low,80,65,60,No,1,Yes,No,No,Yes,"Assumed NM, not verified; Key with zero current price",DCeased,1Y,1,Y,Going Viral,Frankie's Comics Exclusive Jeehyung Lee Virgin Variant,DC Comics,,Modern,"May 01, 2019",Jul 2019,Jul 2019,76194135976200159,1,13,0.0,3.99,3.99,,Minor,1st app. of the DCeased,1st appearance,,,Horror; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/4a/4a_622293_0_DCeased1.jpg,f6e28f6bc5774f26820ad7e8bacfd3d8,622293,89713,2021-05-08,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,890
Spider-Man,Museum Candidate,Low,80,65,75,No,1,Yes,No,No,Yes,"Assumed NM, not verified; Key with zero current price","The Amazing Spider-Man, Vol. 5",1AD,1,AD,Part 1,Adam Hughes Just Say AH! SDCC Convention Exclusive Virgin Variant Cover D,Marvel Comics,Spider-Man,Modern,"Jul 11, 2018",Sep 2018,Sep 2018,75960608936900159,1,4,0.0,5.99,5.99,,Minor,1st app. of Kindred,1st appearance,Back To Basics,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/72/72_580263_0_Part1.jpg,a36c5e53b3e54b0e9c514612fb514ba1,580263,83428,2021-05-08,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,895
Spider-Man,Museum Candidate,Low,80,65,75,No,1,Yes,No,No,Yes,"Assumed NM, not verified; Key with zero current price",Peter Parker: The Spectacular Spider-Man,300P,300,P,,Adam Hughes Variant C,Marvel Comics,,Modern,"Feb 28, 2018",,,75960608814030023,1,High Value Bin,0.0,5.99,5.99,,Minor,1st team app. of Venomi,1st team appearance,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a5/a5_548898_0_PeterParkerTheSpectacularSpide.jpg,5671d9d6c0a64cb3b7cb964423a4ec83,548898,75018,2021-05-08,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,896
Spider-Man,Museum Candidate,Low,88,77,80,No,1,Yes,No,No,Yes,"Assumed NM, not verified","The Amazing Spider-Man, Vol. 4",800W,800,W,Part 4: Conclusion,Adam Hughes Just Say AH! Retailer Exclusive Color Splash Virgin Variant Cover B,Marvel Comics,Spider-Man,Modern,"May 30, 2018",Jul 2018,Jul 2018,75960608765580049,1,4,24.0,9.99,0.0,,Minor,1st full app. of Normie Osborn as Goblin Childe,1st appearance,Go Down Swinging,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/c5/c5_574799_0_Part4Conclusion.jpg,53e7cc8c1e8d4dd8a08d07b4be0cddde,574799,64163,2021-05-08,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,897
Batman,Museum Candidate,Low,85,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","Batman, Vol. 2",1A,1,A,Knife Trick,1st Print,DC Comics,Batman,Modern,"Sep 21, 2011",Nov 2011,Nov 2011,76194130640700111,1,High Value Bin,65.0,2.99,0.0,,Minor,1st cameo app. of Harper Row (later becomes Bluebird),1st cameo appearance,The Court of Owls,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/59/59_287973_0_KnifeTrick.jpg,eb82c3572a344aad9e08195e3c2879ba,287973,41312,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,898
Spider-Man,Museum Candidate,Low,75,75,90,No,1,Yes,Yes,No,No,,"The Amazing Spider-Man, Vol. 1",361A,361,A,Part 1: Savage Genesis!,Direct Edition,Marvel Comics,Spider-Man,Modern,"Feb 11, 1992",Apr 1992,Apr 1992,00928102457604,1,Wall Display,400.0,1.25,1.25,,Major,1st full app. of Carnage,1st full appearance,Carnage,,Action; Adventure; Super-Heroes,Raw,9.6,9.6,,,https://clzcomics.r.sizr.io/core/covers/lg/b0/b0_8243_0_AmazingSpiderManVol1361APart1S.jpg,e1ec071477bb46a38165acac4d466d9b,8243,705,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,899
Spider-Man,Museum Candidate,Low,90,90,90,No,1,Yes,Yes,No,No,,"The Amazing Spider-Man, Vol. 1",252B,252,B,Homecoming!,Newsstand Edition,Marvel Comics,Spider-Man,Bronze,"Jan 31, 1984",May 1984,May 1984,0714860245705,1,Wall Display,270.0,0.6,0.6,,Major,1st app. of Spider-Man's black costume,1st appearance,,,Action; Adventure; Super-Heroes,Raw,9.0,9.0,,,https://clzcomics.r.sizr.io/core/covers/lg/b9/b9_747262_0_TheAmazingSpiderManVol1252B.jpg,18e8db3c35b249a28ced142f7df2c669,747262,705,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,901
Spider-Man,Museum Candidate,Low,85,75,90,No,1,Yes,Yes,No,No,,"The Amazing Spider-Man, Vol. 1",316A,316,A,Dead Meat,Direct Edition,Marvel Comics,Spider-Man,Modern,"Feb 14, 1989",Jun 1989,Jun 1989,07148602457606,1,High Value Bin,170.0,1.0,1.0,,Major,1st cover app. of Venom,1st cover appearance,,,Action; Adventure; Super-Heroes,Raw,8.0,8.0,,,https://clzcomics.r.sizr.io/core/covers/lg/1a/1a_8198_0_AmazingSpiderManVol1316DeadMea.jpg,e9bc0ddd10ce4dba9947a80cb2e0611c,8198,705,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,905
Spider-Man,Inventory Review,Low,70,55,90,No,1,Yes,Yes,No,Yes,Missing barcode,"The Amazing Spider-Man, Vol. 1",301A,301,A,The Sable Gauntlet,Direct Edition,Marvel Comics,Spider-Man,Modern,Jun 1988,Jun 1988,Jun 1988,,1,High Value Bin,110.0,1.0,1.0,,Minor,Classic Todd McFarlane cover,Cover,,,Action; Adventure; Super-Heroes,Raw,8.0,8.0,,,https://clzcomics.r.sizr.io/core/covers/lg/d2/d2_8183_0_AmazingSpiderManVol1301ATheSab.jpg,8db80314910345cdbd1a98087091b97e,8183,705,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,906
Spider-Man,Museum Candidate,Low,75,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","Spider-Man, Vol. 1",1A,1,A,Part One,Yellow and Green Cover,Marvel Comics,Spider-Man,Modern,"Jun 20, 1990",Aug 1990,Aug 1990,00928101321101,1,Wall Display,50.0,1.75,0.0,,Major,"1st Todd McFarlane Spider-man issue, iconic cover",Cover,Torment,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/03/03_111592_0_SpiderManVol11A.jpg,efcd5bc5a589407da3a135e7f1b397d9,111592,9676,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,908
Spider-Man,Museum Candidate,Low,78,67,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified; Missing barcode","Spider-Man, Vol. 1",1B,1,B,Part One,Silver and Black Cover,Marvel Comics,Spider-Man,Modern,Aug 1990,Aug 1990,Aug 1990,,1,High Value Bin,46.0,1.75,0.0,,Major,"1st Todd McFarlane Spider-man issue, iconic cover",Cover,Torment,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/20/20_111595_0_SpiderMan1BTormentPart1.jpg,e8f76e80d5e94d9d894dc06d12dc4c76,111595,9676,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,909
Spider-Man,Museum Candidate,Low,75,85,90,No,1,Yes,Yes,No,Yes,Missing barcode,"Spider-Man, Vol. 1",1E,1,E,Part One,Second Printing Gold & Black Variant Cover,Marvel Comics,Spider-Man,Modern,Aug 1990,Aug 1990,Aug 1990,,1,,55.0,1.75,1.75,,Major,"1st Todd McFarlane Spider-man issue, iconic cover",Cover,Torment,,Action; Adventure; Super-Heroes,Raw,8.0,8.0,,,https://clzcomics.r.sizr.io/core/covers/lg/e3/e3_134077_0_PartOne.jpg,d15d41bb3ff44639aace0cb55276eaaf,134077,9676,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,910
Spider-Man,Museum Candidate,Low,85,75,90,No,1,Yes,Yes,No,Yes,Missing barcode,"The Amazing Spider-Man, Vol. 1",299A,299,A,Survival Of The Hittist!,Direct Edition,Marvel Comics,Spider-Man,Modern,Apr 1988,Apr 1988,Apr 1988,,1,High Value Bin,140.0,0.75,0.75,,Major,1st cameo app. Of Venom,1st cameo appearance,,,Action; Adventure; Super-Heroes,Raw,9.0,9.0,,,https://clzcomics.r.sizr.io/core/covers/lg/64/64_8181_0_SurvivalOfTheHittist.jpg,4898ce412e284038902ab948c7a7ea86,8181,705,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,911
Spider-Man,Investment Hold / Review,Low,70,75,90,Yes,3,Yes,Yes,No,Yes,Duplicate/quantity check,"The Amazing Spider-Man, Vol. 1",298A,298,A,Chance Encounter,Direct Edition,Marvel Comics,Spider-Man,Modern,Mar 1988,Mar 1988,Mar 1988,07148602457603,1,High Value Bin,140.0,0.75,0.75,,Major,1st cameo app. of Eddie Brock / 1st cover art by Todd McFarlane,1st cameo appearance,,,Action; Adventure; Super-Heroes,Raw,9.0,9.0,,,https://clzcomics.r.sizr.io/core/covers/lg/08/08_8180_0_AmazingSpiderManVol1298ChanceE.jpg,1a2cf3411dd249c8a15a060bb987025e,8180,705,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,912
Spider-Man,Museum Candidate,Low,75,70,85,No,1,No,No,No,Yes,Missing barcode,"The Amazing Spider-Man, Vol. 1",90,90,,And Death Shall Come!,,Marvel Comics,Spider-Man,Bronze,Nov 1970,Nov 1970,Nov 1970,,1,Wall Display,160.0,0.15,0.15,,Minor,Death of Captain Stacy,Death,,,Action; Adventure; Super-Heroes,Slabbed,7.5,7.5,Stan Lee,,https://clzcomics.r.sizr.io/core/covers/lg/66/66_7928_0_TheAmazingSpiderManVol190A.jpg,aa8f1d1af11745e6945b88ad0219b554,7928,705,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,913
Superman,Museum Candidate,Low,78,77,90,No,1,Yes,No,No,Yes,"Assumed NM, not verified","Supergirl, Vol. 7",36B,36,B,,Variant Derrick Chew Card Stock Cover,DC Comics,,Modern,"Nov 20, 2019",,,76194134190303621,1,Wall Display,28.0,4.99,0.0,,Minor,1st full app. of The Supergirl Who Laughs,1st full appearance,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e2/e2_631495_0_WhosLaughingNow.jpg,247f80d0095745d9bebdfea03d40ac1c,631495,70341,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,917
X-Men,Museum Candidate,Low,75,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified; Missing barcode","New Mutants, Vol. 1",100A,100,A,The End Of The Beginning,Direct Edition,Marvel Comics,New Mutants,Modern,"Feb 13, 1991",Apr 1991,Apr 1991,,1,Wall Display,55.0,1.5,0.0,,Minor,1st team app. of X-Force,1st team appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,Rob Leifield,,https://clzcomics.r.sizr.io/core/covers/lg/84/84_715722_0_NewMutantsVol1100A.jpg,9e25205f556d4f52aecebcca7314ea3c,715722,6433,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,921
First Appearances,Museum Candidate,Low,88,77,65,No,1,Yes,No,No,Yes,"Assumed NM, not verified",Gwen Stacy,1D,1,D,,Variant Jeehyung Lee Cover,Marvel Comics,,Modern,"Feb 12, 2020",Apr 2020,Apr 2020,75960609819400141,1,High Value Bin,20.0,4.99,0.0,,Minor,1st team app. of the A-Gwen-Gers,1st team appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/58/58_652582_0_.jpg,80b16b3a30de4cc999a69fcae9d70bcc,652582,95665,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,928
Good Girl / Risqué Covers,Inventory Review,Low,73,57,65,No,1,Yes,No,No,Yes,"Assumed NM, not verified","Marauders, Vol. 1",3C,3,C,,Golden Apple Jeehyung Lee Virgin Kitty Pryde Red Queen Variant Dx,Marvel Comics,,Modern,"Dec 04, 2019",,,75960609468400331,1,Wall Display,22.0,3.99,0.0,,Minor,Shinobi Shaw becomes the Black Bishop,Story event,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/ee/ee_653456_0_MaraudersVol13C.jpg,340da98def2441f7a5e1a247f0f30e89,653456,92420,2021-05-09,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,932
Spider-Man,Inventory Review,Low,70,55,85,No,1,No,No,No,No,,"The Amazing Spider-Man, Vol. 1",362A,362,A,Part 2: Savage Alliance!,,Marvel Comics,Spider-Man,Modern,"Mar 10, 1992",May 1992,May 1992,07148602457605,1,High Value Bin,150.0,1.25,1.25,,Minor,2nd app. of Carnage,2nd appearance,Carnage,,Action; Adventure; Super-Heroes,Slabbed,9.6,9.6,,,https://clzcomics.r.sizr.io/core/covers/lg/89/89_8095_0_AmazingSpiderManVol1362APart2S.jpg,8b2411057b3f4fc3872831b0cd287106,8095,705,2021-05-10,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,935
First Appearances,Museum Candidate,Low,75,85,75,No,1,Yes,Yes,No,No,,Secret Wars (2015),1S,1,S,The End Times,HeroesCon Variant,Marvel Comics,Secret Wars,Modern,"May 06, 2015",May 2015,May 2015,75960608230800128,1,Wall Display,110.0,4.99,4.99,,Minor,1st cameo app. of God Emperor Doom,1st cameo appearance,,Secret Wars,Action; Adventure; Super-Heroes,Raw,9.4,9.4,,,https://clzcomics.r.sizr.io/core/covers/lg/7a/7a_410417_0_SecretWars20151AK.jpg,18ab1bba60f347f2baa736e8e3b8eb90,410417,60369,2021-05-12,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,952
First Appearances,Museum Candidate,Low,85,75,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified; Missing barcode","Death's Head II, Vol. 1",1A,1,A,Part 1: Mergers And Acquisitions,,Marvel Comics,Death's Head,Modern,"Jan 21, 1992",Mar 1992,Mar 1992,,1,High Value Bin,50.0,1.75,0.0,,Minor,1st app. of Minion,1st appearance,The Wild Hunt,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/f1/f1_33491_0_DeathsHeadII1TheWildHuntPartOn.jpg,2c005215bd9e40ce901e124c08e3a2d2,33491,2824,2021-05-14,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1194
Batman,Museum Candidate,Low,85,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","Batman Incorporated, Vol. 1",5A,5,A,Masterspy,,DC Comics,Batman,Modern,"Apr 27, 2011",May 2011,May 2011,76194129661600511,1,High Value Bin,60.0,2.99,0.0,,Minor,1st app. of Batwing (Luke Fox),1st appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/57/57_267869_0_Masterspy.jpg,18d1546199e74601843be651a6e9b05e,267869,35735,2021-05-18,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1253
First Appearances,Museum Candidate,Low,78,67,63,No,1,Yes,No,No,Yes,"Assumed NM, not verified; Missing barcode","WildC.A.T.s, Vol. 1",2B,2,B,Revelations,Foil Prism cover,Image Comics,WildC.A.T.S,Modern,Oct 1992,Oct 1992,Oct 1992,,1,High Value Bin,28.0,2.5,0.0,,Minor,1st prismatic comic book cover,Cover,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/b6/b6_169787_0_WildCATsVol12B.jpg,3d2a0582323040898df66af43a08df76,169787,18543,2021-05-18,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1352
Investment Portfolio,Inventory Review,Low,70,55,75,No,1,Yes,No,No,Yes,"Assumed NM, not verified","Moon Knight, Vol. 7",1A,1,A,Slasher,Declan Shalvey Regular Cover,Marvel Comics,Moon Knight,Modern,"Mar 05, 2014",May 2014,May 2014,75960608001400111,1,High Value Bin,50.0,3.99,0.0,,Minor,Marc Spector assumes the moniker of Mr. Knight,Story event,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/d3/d3_358247_0_Slasher.jpg,a1957c03607d4fb5a2d51c61695a357c,358247,53881,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1402
First Appearances,Museum Candidate,Low,78,67,75,No,1,Yes,No,No,Yes,"Assumed NM, not verified",Sabretooth,1A,1,A,Home is the Hunter,,Marvel Comics,Sabretooth,Modern,Aug 1993,Aug 1993,Aug 1993,07148601523901,1,High Value Bin,32.0,2.95,0.0,,Minor,1st sabretooth solo series,First/Last/Nth issue,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/97/97_104735_0_HomeistheHunter.jpg,304ab6c11f6149ae888c6eab4eca45e8,104735,8991,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1505
Superman,Museum Candidate,Low,75,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",The Adventures of Superman,500A,500,A,Life After Death,,DC Comics,Superman,Modern,"Apr 13, 1993",Jun 1993,Jun 1993,07098931140426,1,1,65.0,2.5,0.0,,Major,"1st app. of Steel, 1st app. of Superboy",1st appearance,,Funeral For a Friend,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/25/25_4803_0_TheAdventuresofSupermanVol1500.jpg,40fb648e943948459a4b9cedd6eb84df,4803,428,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1517
First Appearances,Museum Candidate,Low,78,67,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Legends of the DC Universe: Crisis on Infinite Earths,1,1,,Crisis on Infinite Earths- The Untold Story,,DC Comics,Legends of the DC Universe,Modern,"Dec 30, 1998",Feb 1999,Feb 1999,76194121396500111,1,High Value Bin,48.0,4.95,0.0,,Minor,1st app. of Justice Alliance,1st appearance,,Crisis On Infinite Earths,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/df/df_62659_0_CrisisonInfiniteEarthsTheUntol.jpg,68757f19f92d4ee3a3d7853a148b815c,62659,5424,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1556
Spider-Man,Museum Candidate,Low,78,67,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Venom: Lethal Protector,5,5,,Symbiocide,,Marvel Comics,Venom,Modern,"Apr 27, 1993",Jun 1993,Jun 1993,07148601202305,1,High Value Bin,48.0,2.95,0.0,,Minor,"1st app. of Lasher, Phage, Agony & Riot",1st appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/ae/ae_96311_0_Symbiocide.jpg,c213f6e5409c4ae2b4ccd2e2fd3b5ed8,96311,8286,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1557
Spider-Man,Museum Candidate,Low,85,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Venom: Lethal Protector,4,4,,Deadly Birth,,Marvel Comics,Venom,Modern,"Mar 30, 1993",May 1993,May 1993,07148601202304,1,High Value Bin,55.0,2.95,0.0,,Minor,1st app. of Scream (Donna Diego),1st appearance,,,Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e4/e4_96310_0_DeadlyBirth.jpg,c090149e6ce9401d8278acafc8ccecfb,96310,8286,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1558
Spider-Man,Museum Candidate,Low,78,67,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Venom: Lethal Protector,3,3,,A Verdict Of Violence,,Marvel Comics,Venom,Modern,"Feb 23, 1993",Apr 1993,Apr 1993,07148601202303,1,High Value Bin,46.0,2.95,0.0,,Minor,1st app. of Roland Treece,1st appearance,,,Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/fc/fc_96309_0_AVerdictOfViolence.jpg,f3ef1249c5114b4c8bf3b1fd78eeb2e4,96309,8286,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1559
Spider-Man,Museum Candidate,Low,78,67,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Venom: Lethal Protector,2,2,,War And Pieces,,Marvel Comics,Venom,Modern,"Jan 26, 1993",Mar 1993,Mar 1993,07148601202302,1,High Value Bin,40.0,2.95,0.0,,Minor,1st app. of The Jury,1st appearance,,,Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/f0/f0_96308_0_WarAndPieces.jpg,c6f650836acf4c93965984138c875589,96308,8286,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1560
Sci-Fi,Museum Candidate,Low,78,57,55,No,1,Yes,No,No,Yes,"Assumed NM, not verified","Turok: Dinosaur Hunter, Vol. 1",1A,1,A,Cold Blood Blazing,Cvr A Chromium Cover Var Sears,Valiant Entertainment,,Modern,Jul 1993,Jul 1993,Jul 1993,71689287065100111,1,High Value Bin,36.0,3.5,0.0,,Minor,1st app. of Mon-Ark,1st appearance,,,Action; Adventure; Science Fiction; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/90/90_93354_0_ColdBloodBlazing.jpg,44474bb46d64472c9cf39c01749c18f7,93354,8014,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1570
First Appearances,Museum Candidate,Low,75,75,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",The Infinity War,6,6,,The Animus Engagement,Gatefold Wraparound Cover,Marvel Comics,The Infinity War,Modern,"Sep 22, 1992",Nov 1992,Nov 1992,07148601934306,1,22,65.0,2.5,0.0,,Minor,2nd cameo app. of the Goddess,1st cameo appearance,,Infinity War,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/56/56_55696_0_TheInfinityWar6A.jpg,9c7f554324134f1d84de6981c6a0a781,55696,4816,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1586
First Appearances,Inventory Review,Low,70,55,60,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified; Key with zero current price",Warlock and the Infinity Watch,1,1,,Judgement,,Marvel Comics,Warlock,Modern,"Dec 17, 1991",Feb 1992,Feb 1992,07148601897102,1,High Value Bin,0.0,1.75,1.75,,Major,1st team app. of Infinity Watch,1st team appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/44/44_98539_0_Judgement.jpg,d4fc12d4f8264f4a8d94232eb1174d6b,98539,8450,2021-05-21,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1587
Sci-Fi,Museum Candidate,Low,78,67,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",DCU: Brave New World,1,1,,Look To The Skies... / Martian Manhunter / Omac / Prelude / Tv Eye on Me / Handle of The Teacup / The Trials of Shazam!,,DC Comics,,Modern,Aug 2006,Aug 2006,Aug 2006,76194125491300111,1,High Value Bin,40.0,1.0,0.0,,Minor,1st app. of Ryan Choi,1st appearance,,,Action; Anthology; Drama; Science Fiction; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a9/a9_129868_0_DCUBraveNewWorld1BraveNewWorld.jpg,980bbfda06cf497c85222c9d964cc1c2,129868,11860,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1726
Investment Portfolio,Inventory Review,Low,70,55,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified; Missing barcode",Watchmen,12,12,,A Strong and Loving World,,DC Comics,,Modern,"Jun 23, 1987",Oct 1987,Oct 1987,,1,High Value Bin,70.0,1.5,0.0,,Major,Death of Rorschach,Death,,,Action; Adventure; Horror; Super-Heroes; Thriller,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/21/21_98898_0_AStrongandLovingWorld.jpg,54a7f46627e64745af4bcd92f78d6a73,98898,8475,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1732
First Appearances,Museum Candidate,Low,78,67,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Secret Invasion,8A,8,A,Part 8,Regular Gabriele Dell Otto Cover,Marvel Comics,Secret Invasion,Modern,"Dec 03, 2008",Jan 2009,Jan 2009,725130108852,1,High Value Bin,42.0,3.99,0.0,,Minor,1st team app. of H.A.M.M.E.R.,1st team appearance,,Secret Invasion,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/4c/4c_201601_0_Part8.jpg,ccaf99c66f5d465dbbd965e7f9bc06c9,201601,20752,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1768
First Appearances,Museum Candidate,Low,85,75,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Secret Invasion,1A,1,A,Part 1,Gabriele Dell'Otto Regular Cover,Marvel Comics,Secret Invasion,Modern,"Apr 02, 2008",Jun 2008,Jun 2008,75960606316100111,1,High Value Bin,60.0,3.99,0.0,,Minor,1st issue,First/Last/Nth issue,Secret Invasion,Secret Invasion,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/09/09_179732_0_Part1.jpg,ef8261b4231d4c11a14e03efbee19aef,179732,20752,2021-05-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1775
